ID_register	ID_sp	Group	order	family	genus	binomial	body_mass	body_length	tail_length	forearm	age	sex	reproductive_stage	status	longitude	latitude	year	collector_name
9117	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	21	NA	NA	39.5	adult	female	pregnant	alive	-42.261961	-22.583797	1997	Marco Mello
9118	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	20	NA	NA	40.45	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9119	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	19	NA	NA	39.95	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9120	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	19	NA	NA	NA	adult	male	scroted	alive	-42.261961	-22.583797	1997	Marco Mello
9121	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	26	NA	NA	39.2	adult	female	pregnant	alive	-42.261961	-22.583797	1997	Marco Mello
9122	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	24	NA	NA	39.4	adult	female	pregnant	alive	-42.261961	-22.583797	1997	Marco Mello
9123	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	18	NA	NA	39	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9124	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	22	NA	NA	39.15	adult	female	pregnant	alive	-42.261961	-22.583797	1997	Marco Mello
9125	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	21	NA	NA	41.8	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
11001	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	18	NA	NA	38.95	adult	female	pregnant	alive	-42.488922	-22.328944	1997	Marco Mello
9126	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	38.25	adult	male	NA	alive	-42.261961	-22.583797	1998	Marco Mello
9127	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	17	NA	NA	40.35	adult	male	NA	alive	-42.261961	-22.583797	1998	Marco Mello
9128	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	39.8	adult	female	NA	alive	-42.261961	-22.583797	1998	Marco Mello
9129	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	14	NA	NA	41.4	adult	male	NA	alive	-42.261961	-22.583797	1998	Marco Mello
9130	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	37.15	adult	male	NA	alive	-42.261961	-22.583797	1998	Marco Mello
